"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Production and/or development and exploration workers annual wages ($1,000) (PAYANPW)","Production workers first-quarter payroll ($1,000) (PAYQ1PW)","Production and/or development and exploration workers for pay period including March 12 (EMPQ1PW)","Construction, production and/or development and exploration workers annual hours (1,000) (HOURS)","Other employees annual wages ($1,000) (PAYANOM)","Other employees first-quarter payroll ($1,000) (PAYQ1OM)","Other employees for pay period including March 12 (EMPQ1OM)","Total fringe benefits ($1,000) (BENEFIT)","Employer's cost for health insurance ($1,000) (BENHEA)","Employer's cost for defined benefit pension plans ($1,000) (BENPEB)","Employer's cost for defined contribution plans ($1,000) (BENPEC)","Employer's cost for other fringe benefits ($1,000) (BENOTH)","Total cost of supplies and/or materials ($1,000) (CSTMTOT)","Cost of materials, components, packaging and/or supplies used, minerals received, or purchased machinery installed ($1,000) (CSTMPRT)","Cost of resales ($1,000) (CSTRSL)","Cost of contract work ($1,000) (CSTCNT)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Cost of purchased electricity ($1,000) (CSTELEC)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Value added ($1,000) (VALADD)","Total inventories, beginning of year ($1,000) (INVTOTB)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, beginning of year ($1,000) (INVFINB)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Materials and/or supplies, parts, fuels, etc. inventories, beginning of year ($1,000) (INVMATB)","Total inventories, end of year ($1,000) (INVTOTE)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, end of year ($1,000) (INVFINE)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Materials and/or supplies, parts, fuels, etc. inventories, end of year ($1,000) (INVMATE)","Gross value of depreciable assets (acquisition costs), beginning of year ($1,000) (ASTBGN)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, beginning of year ($1,000) (ASTBBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, beginning of year ($1,000) (ASTBMCH)","Total capital expenditures for buildings, structures, machinery, and equipment (new and used) ($1,000) (CEXTOT)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Total retirements ($1,000) (ASRET)","Retirements for buildings and other structures ($1,000) (ASRBLD)","Retirements for machinery and equipment ($1,000) (ASRMCH)","Gross value of depreciable assets (acquisition costs, end of year) ($1,000) (ASTEND)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, end of year ($1,000) (ASTEBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, end of year ($1,000) (ASTEMCH)","Total depreciation during year ($1,000) (DPRTOT)","Total rental payments or lease payments ($1,000) (RPTOT)","Rental payments or lease payments for buildings and other structures ($1,000) (RPBLD)","Rental payments or lease payments for machinery and equipment ($1,000) (RPMCH)","Total other operating expenses ($1,000) (PCHTT)","Temporary staff and leased employee expenses ($1,000) (PCHTEMP)","Expensed computer hardware and other equipment ($1,000) (PCHCMPQ)","Expensed purchases of software ($1,000) (PCHEXSO)","Data processing and other purchased computer services ($1,000) (PCHDAPR)","Communication services ($1,000) (PCHCSVC)","Repair and maintenance services of buildings and/or machinery ($1,000) (PCHRPR)","Refuse removal (including hazardous waste) services ($1,000) (PCHRFUS)","Advertising and promotional services ($1,000) (PCHADVT)","Purchased professional and technical services ($1,000) (PCHPRTE)","Taxes and license fees ($1,000) (PCHTAX)","All other operating expenses ($1,000) (PCHOEXP)","Range indicating imputed percentage of total sales, value of shipments, or revenue (RCPTOT_IMP)","Range indicating imputed percentage of total annual payroll (PAYANN_IMP)","Range indicating imputed percentage of total employees (EMP_IMP)"
"United States","3212","Veneer, Plywood, and Engineered Wood Product Manufacturing","2022","1,026","1,447","41,161,913","4,753,074","1,138,044","84,314","3,324,597","792,757","66,925","131,693","1,428,477","345,287","17,389","1,152,540","462,498","28,828","120,830","540,384","21,633,849","19,535,704","1,068,420","202,831","328,191","498,703","6,495,952","8,723","D","19,626,233","3,088,766","1,287,605","183,566","1,617,595","3,331,417","1,290,589","278,751","1,762,077","18,953,609","3,564,104","15,389,505","1,185,578","233,246","952,332","97,523","60,291","794,518","353,821","49,792","304,029","19,785,366","3,747,558","16,037,808","1,321,276","262,191","173,335","88,856","2,339,492","222,829","19,518","18,099","13,912","24,723","432,923","76,335","13,785","129,713","118,289","1,269,366","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","32121","Veneer, Plywood, and Engineered Wood Product Manufacturing","2022","1,026","1,447","41,161,913","4,753,074","1,138,044","84,314","3,324,597","792,757","66,925","131,693","1,428,477","345,287","17,389","1,152,540","462,498","28,828","120,830","540,384","21,633,849","19,535,704","1,068,420","202,831","328,191","498,703","6,495,952","8,723","D","19,626,233","3,088,766","1,287,605","183,566","1,617,595","3,331,417","1,290,589","278,751","1,762,077","18,953,609","3,564,104","15,389,505","1,185,578","233,246","952,332","97,523","60,291","794,518","353,821","49,792","304,029","19,785,366","3,747,558","16,037,808","1,321,276","262,191","173,335","88,856","2,339,492","222,829","19,518","18,099","13,912","24,723","432,923","76,335","13,785","129,713","118,289","1,269,366","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","321211","Hardwood Veneer and Plywood Manufacturing","2022","174","199","3,523,885","533,989","128,012","10,561","378,853","89,678","8,705","17,714","155,136","38,334","1,856","150,213","65,094","1,629","16,779","66,711","2,250,185","2,076,060","D","D","15,660","39,873","461,237","68","0","1,292,749","425,961","186,993","32,763","206,205","483,540","204,369","34,436","244,735","1,570,981","306,873","1,264,108","119,185","54,413","64,772","5,139","1,117","58,516","58,020","10,215","47,805","1,632,146","351,071","1,281,075","139,906","23,342","15,152","8,190","201,555","17,914","1,080","1,096","1,419","3,963","39,419","8,927","1,318","12,457","11,090","102,872","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","321212","Softwood Veneer and Plywood Manufacturing","2022","52","82","6,611,995","847,166","199,471","13,371","710,282","160,823","11,849","24,853","136,884","38,648","1,522","216,306","97,004","3,792","32,935","82,575","3,055,067","2,843,154","D","D","79,487","106,754","1,323,815","D","D","3,580,073","359,868","147,575","36,250","176,043","439,369","161,427","45,543","232,399","3,674,778","636,167","3,038,611","501,212","72,816","428,396","6,380","17,162","404,854","82,415","8,218","74,197","4,093,575","700,765","3,392,810","242,722","55,661","19,651","36,010","313,757","14,147","1,677","2,477","4,279","2,116","88,935","22,092","1,469","24,817","24,103","127,645","10% to less than 20%","Less than 10%","10% to less than 20%"
"United States","321215","Engineered Wood Member Manufacturing","2022","715","1,000","19,802,753","2,582,613","610,747","48,456","1,671,851","400,842","37,088","69,301","910,762","209,905","11,368","558,189","202,025","10,471","38,311","307,382","11,133,978","10,071,818","804,756","127,623","53,280","76,501","990,671","D","0","8,712,656","1,708,078","713,958","82,129","911,991","1,762,324","674,894","165,074","922,356","5,007,665","1,098,171","3,909,494","326,696","59,046","267,650","66,568","31,765","169,317","80,050","12,091","67,959","5,254,311","1,145,126","4,109,185","353,001","150,300","121,146","29,154","1,309,249","169,678","14,504","6,511","6,329","15,135","139,910","23,247","8,953","59,869","60,116","804,997","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"United States","321219","Reconstituted Wood Product Manufacturing","2022","109","166","11,223,280","789,306","199,814","11,926","563,611","141,414","9,283","19,825","225,695","58,400","2,643","227,832","98,375","12,936","32,805","83,716","5,194,619","4,544,672","151,089","43,519","179,764","275,575","3,720,229","8,295","0","6,040,755","594,859","239,079","32,424","323,356","646,184","249,899","33,698","362,587","8,700,185","1,522,893","7,177,292","238,485","46,971","191,514","19,436","10,247","161,831","133,336","19,268","114,068","8,805,334","1,550,596","7,254,738","585,647","32,888","17,386","15,502","514,931","21,090","2,257","8,015","1,885","3,509","164,659","22,069","2,045","32,570","22,980","233,852","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","3219","Other wood product manufacturing","2022","8,457","9,654","79,501,051","12,730,167","3,055,987","262,851","8,944,208","2,121,146","212,702","404,752","3,785,959","934,841","50,149","2,833,287","1,059,904","43,402","250,501","1,479,480","41,420,660","37,557,599","2,282,017","609,346","333,490","638,208","7,561,644","54,628","D","38,587,670","8,314,327","3,019,281","1,322,182","3,972,864","9,222,620","3,334,006","1,514,736","4,373,878","23,720,464","7,748,302","15,972,162","2,498,267","559,038","1,939,229","297,865","112,679","1,528,685","394,511","89,505","305,006","25,824,220","8,217,835","17,606,385","1,824,277","779,209","595,055","184,154","6,081,321","618,288","114,461","40,532","39,948","101,502","731,519","149,937","186,534","265,645","310,473","3,522,482","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","32191","Millwork","2022","2,976","3,392","37,262,087","5,920,246","1,425,587","117,967","4,088,951","963,392","94,853","176,145","1,831,295","462,195","23,114","1,387,694","551,542","21,301","143,730","671,121","18,527,730","16,862,867","1,003,498","234,434","139,091","287,840","3,354,798","31,491","D","18,935,485","4,165,743","1,493,205","608,167","2,064,371","4,606,026","1,646,599","655,901","2,303,526","11,478,076","4,076,194","7,401,882","1,011,293","134,485","876,808","83,228","55,125","738,455","168,408","36,322","132,086","12,320,961","4,174,357","8,146,604","831,853","317,352","246,747","70,605","2,995,069","256,348","39,870","15,790","16,020","38,786","303,900","66,184","90,901","132,958","127,935","1,906,377","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","321911","Wood Window and Door Manufacturing","2022","936","1,119","19,020,657","3,298,393","791,179","62,363","2,174,056","498,786","49,184","89,808","1,124,337","292,393","13,179","802,878","322,222","11,569","101,882","367,205","8,194,126","7,612,113","334,142","83,491","48,802","115,578","1,371,939","3,417","D","10,923,515","1,654,803","400,486","177,469","1,076,848","1,967,811","467,524","207,415","1,292,872","6,353,029","2,622,939","3,730,090","597,880","68,158","529,722","44,511","44,434","440,777","92,804","14,214","78,590","6,858,105","2,676,883","4,181,222","439,990","148,940","112,002","36,938","1,518,769","109,778","21,993","9,565","7,107","18,912","119,572","33,160","45,355","84,092","68,037","1,001,198","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","321912","Cut Stock, Resawing Lumber, and Planing","2022","608","696","8,049,530","986,656","231,885","19,617","756,188","176,605","16,677","32,325","230,468","55,280","2,940","222,311","90,038","3,685","15,739","112,849","4,750,047","4,239,721","348,451","45,823","38,974","77,078","872,494","7,020","0","3,324,112","1,037,639","565,612","171,112","300,915","1,078,349","582,966","178,387","316,996","1,933,071","527,399","1,405,672","147,771","21,474","126,297","12,778","2,315","111,204","27,645","9,459","18,186","2,053,197","539,414","1,513,783","144,853","54,108","41,651","12,457","733,622","64,374","6,927","1,447","2,697","6,162","87,707","12,095","18,356","16,226","25,212","492,419","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","321918","Other Millwork (including Flooring)","2022","1,459","1,577","10,191,900","1,635,197","402,523","35,987","1,158,707","288,001","28,992","54,012","476,490","114,522","6,995","362,505","139,282","6,047","26,109","191,067","5,583,557","5,011,033","320,905","105,120","51,315","95,184","1,110,365","21,054","D","4,687,858","1,473,301","527,107","259,586","686,608","1,559,866","596,109","270,099","693,658","3,191,976","925,856","2,266,120","265,642","44,853","220,789","25,939","8,376","186,474","47,959","12,649","35,310","3,409,659","958,060","2,451,599","247,010","114,304","93,094","21,210","742,678","82,196","10,950","4,778","6,216","13,712","96,621","20,929","27,190","32,640","34,686","412,760","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","32192","Wood Container and Pallet Manufacturing","2022","2,516","2,933","18,265,295","2,993,488","717,102","64,963","2,267,193","544,618","55,172","106,350","726,295","172,484","9,791","567,538","166,168","6,490","36,872","358,008","10,149,887","9,361,852","440,754","131,217","93,977","122,087","1,248,769","18,065","127","8,306,455","1,541,051","504,152","321,933","714,966","1,775,389","585,665","431,467","758,257","4,123,242","1,321,288","2,801,954","578,504","202,499","376,005","104,852","36,329","234,824","85,197","14,281","70,916","4,616,549","1,509,506","3,107,043","373,087","240,541","186,119","54,422","1,344,278","188,313","25,980","8,009","8,709","24,909","188,596","34,475","16,577","46,261","78,978","723,471","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","321920","Wood Container and Pallet Manufacturing","2022","2,516","2,933","18,265,295","2,993,488","717,102","64,963","2,267,193","544,618","55,172","106,350","726,295","172,484","9,791","567,538","166,168","6,490","36,872","358,008","10,149,887","9,361,852","440,754","131,217","93,977","122,087","1,248,769","18,065","127","8,306,455","1,541,051","504,152","321,933","714,966","1,775,389","585,665","431,467","758,257","4,123,242","1,321,288","2,801,954","578,504","202,499","376,005","104,852","36,329","234,824","85,197","14,281","70,916","4,616,549","1,509,506","3,107,043","373,087","240,541","186,119","54,422","1,344,278","188,313","25,980","8,009","8,709","24,909","188,596","34,475","16,577","46,261","78,978","723,471","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","32199","All Other Wood Product Manufacturing","2022","3,008","3,329","23,973,669","3,816,433","913,298","79,921","2,588,064","613,136","62,677","122,257","1,228,369","300,162","17,244","878,055","342,194","15,611","69,899","450,351","12,743,043","11,332,880","837,765","243,695","100,422","228,281","2,958,077","5,072","D","11,345,730","2,607,533","1,021,924","392,082","1,193,527","2,841,205","1,101,742","427,368","1,312,095","8,119,146","2,350,820","5,768,326","908,470","222,054","686,416","109,785","21,225","555,406","140,906","38,902","102,004","8,886,710","2,533,972","6,352,738","619,337","221,316","162,189","59,127","1,741,974","173,627","48,611","16,733","15,219","37,807","239,023","49,278","79,056","86,426","103,560","892,634","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","321991","Manufactured Home (Mobile Home) Manufacturing","2022","160","235","7,064,498","1,152,655","262,806","24,554","834,497","191,336","20,119","40,866","318,158","71,470","4,435","250,770","106,549","1,601","18,201","124,419","3,503,405","3,421,631","21,539","36,503","14,874","8,858","98,696","D","0","3,597,572","470,537","96,786","73,149","300,602","568,033","109,914","96,500","361,619","1,941,361","488,905","1,452,456","236,289","129,972","106,317","3,873","2,009","100,435","27,876","D","D","2,149,774","593,865","1,555,909","61,725","23,383","16,875","6,508","350,873","39,852","22,119","1,725","1,272","5,554","32,066","11,949","9,377","13,161","22,183","191,615","10% to less than 20%","30% to less than 40%","Less than 10%"
"United States","321992","Prefabricated Wood Building Manufacturing","2022","655","749","8,085,416","1,222,371","297,580","23,896","729,919","173,207","17,174","33,598","492,452","124,373","6,722","300,788","110,157","8,967","23,622","158,042","4,896,005","4,166,320","566,478","131,870","13,404","17,933","210,478","D","0","3,211,414","819,478","267,493","111,417","440,568","883,033","276,497","124,416","482,120","1,144,915","531,201","613,714","140,812","29,455","111,357","25,184","5,120","81,053","28,260","D","D","1,257,467","558,556","698,911","104,122","77,861","63,372","14,489","545,748","62,671","13,193","9,264","5,252","13,577","49,047","12,718","35,084","33,607","41,615","269,720","10% to less than 20%","10% to less than 20%","20% to less than 30%"
"United States","321999","All Other Miscellaneous Wood Product Manufacturing","2022","2,205","2,345","8,823,755","1,441,407","352,912","31,471","1,023,648","248,593","25,384","47,793","417,759","104,319","6,087","326,497","125,488","5,043","28,076","167,890","4,343,633","3,744,929","249,748","75,322","72,144","201,490","2,648,903","4,576","D","4,536,744","1,317,518","657,645","207,516","452,357","1,390,139","715,331","206,452","468,356","5,032,870","1,330,714","3,702,156","531,369","62,627","468,742","80,728","14,096","373,918","84,770","11,790","72,980","5,479,469","1,381,551","4,097,918","453,490","120,072","81,942","38,130","845,353","71,104","13,299","5,744","8,695","18,676","157,910","24,611","34,595","39,658","39,762","431,299","20% to less than 30%","10% to less than 20%","30% to less than 40%"
"United States","322","Paper Manufacturing","2022","2,301","3,893","220,327,671","24,705,527","6,121,204","347,651","16,960,802","4,189,163","268,935","555,945","7,744,725","1,932,041","78,716","7,000,120","2,911,020","393,700","757,811","2,937,589","123,157,243","109,035,514","4,506,164","1,138,470","4,766,284","3,710,811","53,551,234","28,956,589","2,513,911","98,530,605","17,956,778","6,960,340","1,593,402","9,403,036","20,639,964","8,068,567","1,845,352","10,726,045","170,395,926","23,968,346","146,427,580","10,214,879","1,517,124","8,697,755","210,579","188,367","8,298,809","5,005,263","387,845","4,617,418","175,605,542","25,097,625","150,507,917","8,071,875","1,997,578","1,263,472","734,106","18,978,921","1,203,661","170,061","98,901","109,168","154,231","4,786,711","777,442","123,409","1,139,105","889,277","9,526,955","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","3221","Pulp, paper, and paperboard mills","2022","156","356","82,523,903","7,994,320","1,963,727","88,907","5,967,057","1,444,205","69,074","149,984","2,027,263","519,522","19,833","2,418,278","953,866","187,207","274,879","1,002,326","39,417,005","32,444,118","92,637","384,505","4,027,843","2,467,902","38,781,734","28,077,882","2,369,502","43,544,100","5,441,647","2,200,475","415,913","2,825,259","6,225,943","2,562,404","491,186","3,172,353","94,751,564","10,277,710","84,473,854","5,143,104","542,652","4,600,452","55,416","84,883","4,460,153","3,376,641","199,378","3,177,263","96,518,027","10,620,984","85,897,043","4,502,071","480,587","132,426","348,161","9,340,411","225,362","74,307","27,218","31,793","29,982","2,823,242","465,845","35,961","667,573","426,803","4,532,325","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","32211","Pulp Mills","2022","18","33","8,716,945","952,228","237,177","9,279","729,236","180,952","7,398","16,518","222,992","56,225","1,881","310,454","134,113","19,050","42,276","115,015","3,975,315","3,326,338","D","D","404,906","164,837","1,936,214","7,187,619","D","4,769,382","630,940","337,730","32,211","260,999","707,860","349,456","48,237","310,167","10,429,115","799,544","9,629,571","D","D","382,200","D","D","367,088","D","D","D","9,386,079","745,153","8,640,926","575,439","69,647","3,762","65,885","1,068,649","7,065","45,730","4,895","1,753","6,232","469,970","55,554","1,469","109,725","70,756","295,500","40% to less than 50%","10% to less than 20%","20% to less than 30%"
"United States","322110","Pulp Mills","2022","18","33","8,716,945","952,228","237,177","9,279","729,236","180,952","7,398","16,518","222,992","56,225","1,881","310,454","134,113","19,050","42,276","115,015","3,975,315","3,326,338","D","D","404,906","164,837","1,936,214","7,187,619","D","4,769,382","630,940","337,730","32,211","260,999","707,860","349,456","48,237","310,167","10,429,115","799,544","9,629,571","D","D","382,200","D","D","367,088","D","D","D","9,386,079","745,153","8,640,926","575,439","69,647","3,762","65,885","1,068,649","7,065","45,730","4,895","1,753","6,232","469,970","55,554","1,469","109,725","70,756","295,500","40% to less than 50%","10% to less than 20%","20% to less than 30%"
"United States","32212","Paper Mills","2022","89","159","32,583,224","3,456,419","848,044","43,170","2,461,636","589,558","32,363","69,415","994,783","258,486","10,807","1,041,309","408,603","60,855","113,517","458,334","16,747,168","14,253,698","D","D","1,239,451","1,057,576","17,827,262","6,766,978","D","15,962,300","2,554,856","931,991","298,066","1,324,799","2,886,073","1,007,240","349,061","1,529,772","38,775,028","5,140,183","33,634,845","2,826,623","245,944","2,580,679","D","D","2,484,454","1,582,961","64,039","1,518,922","40,018,690","5,322,088","34,696,602","2,234,236","178,180","67,437","110,743","2,733,525","159,998","18,268","11,905","23,153","9,412","717,030","127,248","17,873","207,385","130,129","1,311,124","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","322120","Paper Mills","2022","89","159","32,583,224","3,456,419","848,044","43,170","2,461,636","589,558","32,363","69,415","994,783","258,486","10,807","1,041,309","408,603","60,855","113,517","458,334","16,747,168","14,253,698","D","D","1,239,451","1,057,576","17,827,262","6,766,978","D","15,962,300","2,554,856","931,991","298,066","1,324,799","2,886,073","1,007,240","349,061","1,529,772","38,775,028","5,140,183","33,634,845","2,826,623","245,944","2,580,679","D","D","2,484,454","1,582,961","64,039","1,518,922","40,018,690","5,322,088","34,696,602","2,234,236","178,180","67,437","110,743","2,733,525","159,998","18,268","11,905","23,153","9,412","717,030","127,248","17,873","207,385","130,129","1,311,124","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","32213","Paperboard Mills","2022","63","164","41,223,734","3,585,673","878,506","36,458","2,776,185","673,695","29,313","64,051","809,488","204,811","7,145","1,066,515","411,150","107,302","119,086","428,977","18,694,522","14,864,082","46,735","154,730","2,383,486","1,245,489","19,018,258","14,123,285","917,338","22,812,418","2,255,851","930,754","85,636","1,239,461","2,632,010","1,205,708","93,888","1,332,414","45,547,421","4,337,983","41,209,438","D","D","1,637,573","D","D","1,608,611","D","D","D","47,113,258","4,553,743","42,559,515","1,692,396","232,760","61,227","171,533","5,538,237","58,299","10,309","10,418","6,887","14,338","1,636,242","283,043","16,619","350,463","225,918","2,925,701","10% to less than 20%","Less than 10%","10% to less than 20%"
"United States","322130","Paperboard Mills","2022","63","164","41,223,734","3,585,673","878,506","36,458","2,776,185","673,695","29,313","64,051","809,488","204,811","7,145","1,066,515","411,150","107,302","119,086","428,977","18,694,522","14,864,082","46,735","154,730","2,383,486","1,245,489","19,018,258","14,123,285","917,338","22,812,418","2,255,851","930,754","85,636","1,239,461","2,632,010","1,205,708","93,888","1,332,414","45,547,421","4,337,983","41,209,438","D","D","1,637,573","D","D","1,608,611","D","D","D","47,113,258","4,553,743","42,559,515","1,692,396","232,760","61,227","171,533","5,538,237","58,299","10,309","10,418","6,887","14,338","1,636,242","283,043","16,619","350,463","225,918","2,925,701","10% to less than 20%","Less than 10%","10% to less than 20%"
"United States","3222","Converted paper product manufacturing","2022","2,197","3,537","137,803,768","16,711,207","4,157,477","258,744","10,993,745","2,744,958","199,861","405,961","5,717,462","1,412,519","58,883","4,581,842","1,957,154","206,493","482,932","1,935,263","83,740,238","76,591,396","4,413,527","753,965","738,441","1,242,909","14,769,500","878,707","144,409","54,986,505","12,515,131","4,759,865","1,177,489","6,577,777","14,414,021","5,506,163","1,354,166","7,553,692","75,644,362","13,690,636","61,953,726","5,071,775","974,472","4,097,303","155,163","103,484","3,838,656","1,628,622","188,467","1,440,155","79,087,515","14,476,641","64,610,874","3,569,804","1,516,991","1,131,046","385,945","9,638,510","978,299","95,754","71,683","77,375","124,249","1,963,469","311,597","87,448","471,532","462,474","4,994,630","20% to less than 30%","10% to less than 20%","30% to less than 40%"
"United States","32221","Paperboard Container Manufacturing","2022","1,062","1,998","85,060,320","10,223,063","2,560,486","156,182","6,705,780","1,701,053","122,304","250,606","3,517,283","859,433","33,878","2,752,323","1,193,237","112,620","303,874","1,142,592","54,339,773","49,038,262","3,772,012","518,865","371,202","639,432","6,831,842","D","D","31,221,300","6,930,415","2,570,467","473,274","3,886,674","7,944,377","3,034,400","510,094","4,399,883","45,605,944","7,620,493","37,985,451","3,319,925","768,175","2,551,750","89,722","61,232","2,400,796","890,227","119,966","770,261","48,035,642","8,268,702","39,766,940","1,971,556","1,034,827","737,586","297,241","6,389,225","678,299","56,595","34,357","40,279","70,527","1,359,804","143,541","29,874","283,030","314,233","3,378,686","10% to less than 20%","10% to less than 20%","30% to less than 40%"
"United States","322211","Corrugated and Solid Fiber Box Manufacturing","2022","603","1,204","57,188,311","6,260,293","1,581,413","91,382","4,067,899","1,036,032","71,793","146,034","2,192,394","545,381","19,589","1,606,686","717,950","73,743","194,431","620,562","37,697,752","33,567,631","3,154,753","276,978","311,406","386,984","4,129,294","D","D","19,653,443","4,167,005","1,378,067","161,094","2,627,844","4,632,366","1,534,859","167,186","2,930,321","33,371,934","5,354,188","28,017,746","2,483,298","662,640","1,820,658","61,082","24,015","1,735,561","698,202","87,008","611,194","35,157,030","5,929,820","29,227,210","1,188,852","672,947","472,164","200,783","4,454,581","399,342","29,511","18,681","23,208","42,368","930,395","94,647","16,434","203,990","215,122","2,480,883","10% to less than 20%","10% to less than 20%","30% to less than 40%"
"United States","322212","Folding Paperboard Box Manufacturing","2022","344","516","18,693,919","2,870,394","709,745","45,586","1,886,828","479,549","35,504","73,557","983,566","230,196","10,082","811,075","332,657","27,007","70,596","380,815","11,397,895","10,595,251","392,984","205,967","41,353","162,340","1,698,598","3,121","D","7,529,246","2,019,805","922,494","258,962","838,349","2,349,030","1,131,478","283,200","934,352","9,206,670","1,788,953","7,417,717","578,594","89,156","489,438","14,331","32,515","442,592","147,650","27,276","120,374","9,637,614","1,850,833","7,786,781","593,283","276,377","201,177","75,200","1,451,787","201,904","22,142","14,016","12,825","21,382","319,493","36,311","10,727","60,792","75,191","677,004","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","322219","Other Paperboard Container Manufacturing","2022","159","278","9,178,090","1,092,376","269,328","19,214","751,053","185,472","15,007","31,015","341,323","83,856","4,207","334,562","142,630","11,870","38,847","141,215","5,244,126","4,875,380","224,275","35,920","18,443","90,108","1,003,950","D","0","4,038,611","743,605","269,906","53,218","420,481","962,981","368,063","59,708","535,210","3,027,340","477,352","2,549,988","258,033","16,379","241,654","14,309","4,702","222,643","44,375","5,682","38,693","3,240,998","488,049","2,752,949","189,421","85,503","64,245","21,258","482,857","77,053","4,942","1,660","4,246","6,777","109,916","12,583","2,713","18,248","23,920","220,799","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"United States","32222","Paper Bag and Coated and Treated Paper Manufacturing","2022","485","685","26,755,674","3,587,108","896,290","53,869","2,344,826","574,886","40,035","82,372","1,242,282","321,404","13,834","1,037,394","437,472","56,291","105,337","438,294","15,255,955","14,437,518","200,170","118,940","229,201","270,126","3,618,221","D","D","11,704,444","3,205,034","1,019,217","544,772","1,641,045","3,724,795","1,134,058","634,656","1,956,081","10,626,152","2,213,612","8,412,540","721,477","95,964","625,513","24,639","16,061","584,813","187,604","21,574","166,030","11,160,025","2,288,002","8,872,023","602,006","220,267","177,193","43,074","1,712,872","84,291","24,686","21,974","17,967","33,450","368,491","98,127","17,326","90,574","77,739","878,247","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"United States","322220","Paper Bag and Coated and Treated Paper Manufacturing","2022","485","685","26,755,674","3,587,108","896,290","53,869","2,344,826","574,886","40,035","82,372","1,242,282","321,404","13,834","1,037,394","437,472","56,291","105,337","438,294","15,255,955","14,437,518","200,170","118,940","229,201","270,126","3,618,221","D","D","11,704,444","3,205,034","1,019,217","544,772","1,641,045","3,724,795","1,134,058","634,656","1,956,081","10,626,152","2,213,612","8,412,540","721,477","95,964","625,513","24,639","16,061","584,813","187,604","21,574","166,030","11,160,025","2,288,002","8,872,023","602,006","220,267","177,193","43,074","1,712,872","84,291","24,686","21,974","17,967","33,450","368,491","98,127","17,326","90,574","77,739","878,247","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"United States","32223","Stationery Product Manufacturing","2022","295","348","6,280,826","824,882","201,275","15,661","566,838","138,216","12,202","23,781","258,044","63,059","3,459","216,424","100,669","4,388","15,764","95,603","3,865,799","3,526,298","197,934","79,991","8,293","53,283","583,247","D","D","2,444,833","707,422","368,839","33,595","304,988","772,591","382,292","49,948","340,351","1,606,334","266,147","1,340,187","136,611","30,049","106,562","11,066","10,381","85,115","71,897","17,844","54,053","1,671,048","278,352","1,392,696","136,111","67,738","57,819","9,919","383,135","32,170","7,040","6,962","3,386","7,499","57,379","7,466","13,238","14,551","16,664","216,780","10% to less than 20%","20% to less than 30%","30% to less than 40%"
